date,reach,q_m3s,c_mgL
2024-01-01,A,0.462962962962963,4.0506329113924044
2024-01-01,B,0.8333333333333335,2.6947960618846687
2024-01-02,A,0.0,5.0
2024-01-02,B,0.0,nan
2024-01-03,A,0.17361111111111113,5.0
2024-01-03,B,0.3125,nan
2024-01-04,A,0.925925925925926,5.0
2024-01-04,B,1.666666666666667,nan
2024-01-05,A,0.0,5.0
2024-01-05,B,0.0,nan
2024-01-06,A,0.34722222222222227,5.0
2024-01-06,B,0.625,nan
2024-01-07,A,0.05787037037037038,5.0
2024-01-07,B,0.10416666666666669,nan
